2020-06-15-16-40-02.877861,23
2020-06-15-16-40-02.889003,17
2020-06-15-16-40-02.901040,17
2020-06-15-16-40-02.912940,17
2020-06-15-16-40-02.924810,7
2020-06-15-16-40-02.936604,38
2020-06-15-16-40-02.949319,38
2020-06-15-16-40-02.960935,4
2020-06-15-16-40-02.972544,4
2020-06-15-16-40-02.984099,4
2020-06-15-16-40-02.996172,-1
2020-06-15-16-40-03.008690,1
2020-06-15-16-40-03.021026,1
2020-06-15-16-40-03.031343,-10
2020-06-15-16-40-03.043566,2
2020-06-15-16-40-03.055638,2
2020-06-15-16-40-03.066783,0
2020-06-15-16-40-03.078714,17
2020-06-15-16-40-03.090947,17
2020-06-15-16-40-03.102889,9
2020-06-15-16-40-03.114961,34
2020-06-15-16-40-03.126267,34
2020-06-15-16-40-03.139385,59
2020-06-15-16-40-03.151892,61
2020-06-15-16-40-03.164284,61
2020-06-15-16-40-03.174757,61
2020-06-15-16-40-03.186344,54
2020-06-15-16-40-03.198681,54
2020-06-15-16-40-03.211251,54
2020-06-15-16-40-03.222261,48
2020-06-15-16-40-03.234277,48
2020-06-15-16-40-03.246633,48
2020-06-15-16-40-03.258620,18
2020-06-15-16-40-03.270970,18
2020-06-15-16-40-03.281604,18
2020-06-15-16-40-03.292954,18
2020-06-15-16-40-03.304576,12
2020-06-15-16-40-03.316271,24
2020-06-15-16-40-03.328696,24
2020-06-15-16-40-03.341026,24
2020-06-15-16-40-03.353582,24
2020-06-15-16-40-03.365944,-7
2020-06-15-16-40-03.378467,-7
2020-06-15-16-40-03.390944,-7
2020-06-15-16-40-03.401457,27
2020-06-15-16-40-03.412903,27
2020-06-15-16-40-03.425046,27
2020-06-15-16-40-03.437597,44
2020-06-15-16-40-03.449289,44
2020-06-15-16-40-03.461091,44
2020-06-15-16-40-03.472712,60
2020-06-15-16-40-03.483549,60
2020-06-15-16-40-03.495092,60
2020-06-15-16-40-03.506266,39
2020-06-15-16-40-03.519028,29
2020-06-15-16-40-03.531177,29
2020-06-15-16-40-03.542717,29
2020-06-15-16-40-03.554541,54
2020-06-15-16-40-03.566645,54
2020-06-15-16-40-03.578735,54
2020-06-15-16-40-03.590970,54
2020-06-15-16-40-03.603037,50
2020-06-15-16-40-03.613930,50
2020-06-15-16-40-03.626487,50
2020-06-15-16-40-03.638730,26
2020-06-15-16-40-03.651376,26
2020-06-15-16-40-03.663355,26
2020-06-15-16-40-03.674491,9
2020-06-15-16-40-03.686163,9
2020-06-15-16-40-03.698631,9
2020-06-15-16-40-03.711073,20
2020-06-15-16-40-03.723695,20
2020-06-15-16-40-03.735326,20
2020-06-15-16-40-03.745865,23
2020-06-15-16-40-03.757535,23
2020-06-15-16-40-03.768747,23
2020-06-15-16-40-03.781234,12
2020-06-15-16-40-03.792885,12
2020-06-15-16-40-03.803866,12
2020-06-15-16-40-03.815153,12
2020-06-15-16-40-03.827381,10
2020-06-15-16-40-03.838680,10
2020-06-15-16-40-03.851368,25
2020-06-15-16-40-03.863380,40
2020-06-15-16-40-03.874506,40
2020-06-15-16-40-03.886138,40
2020-06-15-16-40-03.898629,43
2020-06-15-16-40-03.911006,43
2020-06-15-16-40-03.921541,43
2020-06-15-16-40-03.932363,57
2020-06-15-16-40-03.944951,57
2020-06-15-16-40-03.955415,57
2020-06-15-16-40-03.966793,28
2020-06-15-16-40-03.978736,36
2020-06-15-16-40-03.991024,36
2020-06-15-16-40-04.002165,36
2020-06-15-16-40-04.013737,27
2020-06-15-16-40-04.024107,27
2020-06-15-16-40-04.035997,27
2020-06-15-16-40-04.048622,35
2020-06-15-16-40-04.061072,35
2020-06-15-16-40-04.073474,35
2020-06-15-16-40-04.083720,22
2020-06-15-16-40-04.095367,23
2020-06-15-16-40-04.105466,23
2020-06-15-16-40-04.116655,23
2020-06-15-16-40-04.128654,3
2020-06-15-16-40-04.141082,3
2020-06-15-16-40-04.151672,3
2020-06-15-16-40-04.163464,9
2020-06-15-16-40-04.174075,9
2020-06-15-16-40-04.185115,9
2020-06-15-16-40-04.196366,13
2020-06-15-16-40-04.208742,16
2020-06-15-16-40-04.221052,16
2020-06-15-16-40-04.232776,16
2020-06-15-16-40-04.243766,40
2020-06-15-16-40-04.256794,40
2020-06-15-16-40-04.268876,40
2020-06-15-16-40-04.281003,56
2020-06-15-16-40-04.293052,56
2020-06-15-16-40-04.304882,56
2020-06-15-16-40-04.316658,48
2020-06-15-16-40-04.328257,72
2020-06-15-16-40-04.339025,72
2020-06-15-16-40-04.350993,72
2020-06-15-16-40-04.363395,100
2020-06-15-16-40-04.376104,100
2020-06-15-16-40-04.388695,100
2020-06-15-16-40-04.401072,35
2020-06-15-16-40-04.411344,35
2020-06-15-16-40-04.422831,35
2020-06-15-16-40-04.435274,52
2020-06-15-16-40-04.447089,52
2020-06-15-16-40-04.458676,52
2020-06-15-16-40-04.471147,52
2020-06-15-16-40-04.483042,52
2020-06-15-16-40-04.495243,39
2020-06-15-16-40-04.505569,5
2020-06-15-16-40-04.516880,5
2020-06-15-16-40-04.528642,5
2020-06-15-16-40-04.541109,21
2020-06-15-16-40-04.552981,21
2020-06-15-16-40-04.564139,21
2020-06-15-16-40-04.576365,24
2020-06-15-16-40-04.588717,24
2020-06-15-16-40-04.601117,24
2020-06-15-16-40-04.613087,13
2020-06-15-16-40-04.624139,13
2020-06-15-16-40-04.636725,33
2020-06-15-16-40-04.649821,41
2020-06-15-16-40-04.661425,43
2020-06-15-16-40-04.673333,43
2020-06-15-16-40-04.684766,34
2020-06-15-16-40-04.696396,29
